NO,Date,Year,Month,Day,Open,High,Low,Close,Volume,AdjClose,datetime,NYTempHigh,NYTempLow,BadWeather,
1050,2011-05-24,2011,5,24,132.440002,132.729996,131.699997,131.949997,147199600,120.954127,5/24/11,27.200000,18.900000,3.000000,
1051,2011-05-23,2011,5,23,131.979996,132.720001,131.589996,132.059998,168700000,121.054961,5/23/11,19.400000,12.800000,3.000000,
1052,2011-05-20,2011,5,20,134.330002,134.679993,133.360001,133.610001,182594900,122.475797,5/20/11,17.800000,13.900000,4.000000,
1053,2011-05-19,2011,5,19,134.800003,135.029999,133.940002,134.679993,119489500,123.456622,5/19/11,23.900000,15.600000,3.000000,
1054,2011-05-18,2011,5,18,133.240005,134.5,132.949997,134.360001,135217900,123.163297,5/18/11,19.400000,12.200000,4.000000,
1055,2011-05-17,2011,5,17,132.690002,133.350006,132.119995,133.169998,192686200,122.072461,5/17/11,15.600000,11.100000,3.000000,
1056,2011-05-16,2011,5,16,133.559998,134.610001,132.970001,133.190002,141675400,122.090799,5/16/11,16.700000,11.700000,3.000000,
1057,2011-05-13,2011,5,13,135.149994,135.339996,133.559998,134.039993,157444900,122.869957,5/13/11,19.400000,11.100000,0.000000,
1058,2011-05-12,2011,5,12,134.080002,135.360001,133.389999,135.080002,171550700,123.823297,5/12/11,23.300000,11.100000,0.000000,
1059,2011-05-11,2011,5,11,135.669998,135.690002,133.820007,134.440002,193564200,123.236632,5/11/11,21.700000,11.100000,0.000000,
1060,2011-05-10,2011,5,10,135.169998,136.110001,135,135.869995,114806900,124.547458,5/10/11,23.900000,11.700000,0.000000,
1061,2011-05-09,2011,5,9,134.190002,135.110001,133.979996,134.720001,114104500,123.493297,5/9/11,21.700000,12.200000,0.000000,
1062,2011-05-06,2011,5,6,134.940002,135.630005,133.679993,134.199997,222787200,123.016627,5/6/11,22.200000,10.000000,0.000000,
1063,2011-05-05,2011,5,5,134.080002,134.949997,133.020004,133.610001,226900000,122.475797,5/5/11,18.300000,7.800000,0.000000,
