date,BadWeather,Average,3DayAverage,7DayAverage,High,Low
20131003,0,21.4,22.9666666666667,21.3857142857143,25.60000000000000,17.20000000000000
20131004,1,24.45,22.3166666666667,21.5857142857143,30.00000000000000,18.90000000000000
20131005,0,21.1,21.75,20.7857142857143,24.40000000000000,17.80000000000000
20131006,0,19.7,20.2666666666667,19.5214285714286,21.10000000000000,18.30000000000000
20131007,0,20,18.5,18.6428571428571,24.40000000000000,15.60000000000000
20131008,0,15.8,16.6666666666667,17.6928571428571,19.40000000000000,12.20000000000000
20131009,0,14.2,15.0833333333333,17.3785714285714,16.70000000000000,11.70000000000000
20131010,0,15.25,15.75,16.8214285714286,18.30000000000000,12.20000000000000
20131011,1,17.8,17.3166666666667,16.1071428571429,20.00000000000000,15.60000000000000
20131012,0,18.9,17.5,16.2714285714286,22.20000000000000,15.60000000000000
20131013,0,15.8,16.5666666666667,16.5785714285714,18.30000000000000,13.30000000000000
20131014,0,15,15.9166666666667,17.1785714285714,18.90000000000000,11.10000000000000
20131015,0,16.95,16.1,16.9785714285714,22.20000000000000,11.70000000000000
20131016,0,16.35,17.5833333333333,16.3428571428571,19.40000000000000,13.30000000000000
20131017,0,19.45,17.4,16.0285714285714,22.80000000000000,16.10000000000000
20131018,0,16.4,16.7666666666667,15.95,20.00000000000000,12.80000000000000
20131019,0,14.45,14.8166666666667,15.6714285714286,17.80000000000000,11.10000000000000
20131020,0,13.6,14.1666666666667,14.7642857142857,17.20000000000000,10.00000000000000
20131021,0,14.45,14.35,13.2142857142857,18.90000000000000,10.00000000000000
20131022,0,15,13.15,12.0214285714286,19.40000000000000,10.60000000000000
20131023,0,10,11.2,11.2285714285714,12.80000000000000,7.2
20131024,0,8.6,8.88333333333333,10.8714285714286,12.20000000000000,5
20131025,0,8.05,8.51666666666667,10.3928571428571,11.70000000000000,4.4
20131026,0,8.9,9.35,9.67857142857143,12.80000000000000,5
20131027,0,11.1,10.3666666666667,9.95714285714286,14.40000000000000,7.8
20131028,0,11.1,10.7333333333333,10.9142857142857,16.10000000000000,6.1
20131029,0,10,11.0166666666667,12.3428571428571,13.30000000000000,6.7
20131030,1,11.95,12.4166666666667,13.4142857142857,15.60000000000000,8.3
20131031,0,15.3,15.1,12.9428571428571,18.90000000000000,11.70000000000000
20131101,0,18.05,16.5833333333333,12.0357142857143,21.10000000000000,15.00000000000000
20131102,0,16.4,14.0833333333333,11.8785714285714,20.00000000000000,12.80000000000000
20131103,0,7.8,9.65,11.9928571428571,12.80000000000000,2.8
20131104,0,4.75,7.15,11.5571428571429,7.8,1.7
20131105,0,8.9,8.8,10.0071428571429,12.80000000000000,5
20131106,0,12.75,11.3,8.61428571428571,16.10000000000000,9.4
20131107,0,12.25,10.7333333333333,9.12857142857143,17.80000000000000,6.7
20131108,0,7.2,8.7,9.72142857142857,10.00000000000000,4.4
20131109,0,6.65,8.41666666666667,9.20714285714286,10.00000000000000,3.3
20131110,0,11.4,8.98333333333333,7.55,16.10000000000000,6.7
20131111,0,8.9,8.53333333333333,6.63571428571429,11.70000000000000,6.1
20131112,0,5,5.11666666666667,7.07857142857143,11.10000000000000,-0.5
20131113,0,1,4.1,7.75714285714286,3.9,-1.6
20131114,0,5.85,5.76666666666667,8,11.10000000000000,0.6
20131115,0,10.3,9.18333333333333,8.79285714285714,13.90000000000000,6.7
20131116,0,11.4,11.6,8.95,15.60000000000000,7.2
20131117,0,13.1,12.9833333333333,9.26428571428571,15.60000000000000,10.60000000000000
20131118,1,14.45,11.3166666666667,9.34285714285714,18.30000000000000,10.60000000000000
20131119,0,6.4,8.06666666666667,9.62142857142857,10.60000000000000,2.2
20131120,0,3.35,5.38333333333333,8.82857142857143,6.7,0
20131121,0,6.4,7.33333333333333,6.53571428571428,11.10000000000000,1.7
20131122,0,12.25,8.16666666666667,4.24285714285714,13.90000000000000,10.60000000000000
20131123,0,6,5.05,3.96428571428571,12.20000000000000,-0.5
20131124,0,-3,0,4.8,-1,-4.9
20131125,0,-2,-0.0333333333333335,3.93571428571429,1.7,-4.9
20131126,1,4.45,4.01666666666667,2.35,8.3,0.6
20131127,1,9.2,4.66666666666667,1.52142857142857,16.70000000000000,1.7
20131128,0,0,3.56666666666667,2.77142857142857,1.7,-1
20131129,0,1,1,4.02857142857143,3.9,-1.6
20131130,0,0,2.33333333333333,4.46428571428571,3.9,-3.8
20131201,0,5.8,4.35,4.3,9.4,2.2
20131202,1,7.2,6.83333333333333,6,9.4,5
20131203,0,7.5,7.58333333333333,7.22857142857143,11.70000000000000,3.3
20131204,1,8.05,9.26666666666667,7.57857142857143,11.10000000000000,5
20131205,0,12.25,10.0166666666667,6.67857142857143,15.60000000000000,8.9
20131206,1,9.75,8.16666666666667,5.89285714285714,16.70000000000000,2.8
20131207,1,2.5,3.91666666666667,4.95,5,0
20131208,0,-1,1.23333333333333,3.65,0.6,-1.6
20131209,0,2,1,1.47857142857143,3.9,-0.5
20131210,0,1,1,-0.142857142857143,2.8,-1
20131211,0,-1,-1,-1,0.6,-2.7
20131212,0,-3,-2,-1,-1,-4.9
20131213,0,-2,-2,-1,1.7,-4.9
20131214,0,-2,-1,-1,1.1,-5.5
20131215,1,2,-1,-1,4.4,-1
20131216,0,-2,-1,0,0.6,-3.8
20131217,0,-2,-2,0.957142857142857,0,-4.3
20131218,0,-1,0,3.33571428571429,2.8,-4.9
20131219,0,4,3.65,5.79285714285714,8.3,-1
20131220,0,8.35,8.81666666666667,7.69285714285714,11.70000000000000,5
20131221,0,14.45,13.9,8.17142857142857,18.30000000000000,10.60000000000000
20131222,0,18.9,15.0166666666667,7.77857142857143,21.70000000000000,16.10000000000000
20131223,1,11.7,10.6,7.34285714285714,17.80000000000000,5.6
20131224,1,1,3.03333333333333,6.42857142857143,5.6,-3.2
20131225,0,-4,-1,5.43571428571429,-0.5,-7.1
20131226,1,1,0,3.72857142857143,2.2,-1
20131227,0,2,3.35,2.22142857142857,4.4,-0.5
